steamid,total_games,total_playtime,country,account_created
76561198181304338,252,426834,US,1424717921
76561197960279927,492,0,GB,1063354365
76561197960461627,56,357811,,1063425066
76561198284975110,56,0,,1455913082
76561198043335723,262,338094,US,1308183697
76561198064046042,75,171976,,1337631103
76561198093456007,308,404431,US,1370302595
76561198113109970,47,121439,US,1383342096
76561198137641413,140,369861,,1400798376
76561198140312583,36,37184,US,1402590661
76561198142624795,192,227566,US,1403989412
76561198151352759,77,245254,US,1408805509
76561198153416192,294,332786,,1410011558
76561198157436029,1159,1031713,US,1412531117
76561198157745879,39,0,US,1412713349
76561198196191411,86,293491,US,1431378137
76561198211495673,146,294074,US,1439060831
76561198220342807,40,116117,US,1443382735
76561198313456589,84,210721,,1466984465
76561197961020476,63,693778,US,1063927426
76561197962658287,14,0,,1068417996
76561197963232632,74,519042,US,1070743970
76561197963644753,17,70088,,1072783707
76561197964787256,48,19708,US,1078360915
76561197985709704,18,159064,VE,1161564120
76561197987670988,244,433474,,1169243165
76561197989870734,91,0,US,1178802533
76561198007873411,6,289859,,1237178737
76561198015612471,97,472839,CA,1257902824
76561198019339829,94,731663,US,1262645287
76561198031573530,225,243130,DE,1286431576
76561198042382546,21,0,,1306332280
76561198045396035,257,762761,VE,1310788877
